iter	Logloss
0	0.6255861161
1	0.5745488821
2	0.5434110503
3	0.516576633
4	0.4951485376
5	0.4787301737
6	0.4666037573
7	0.4580621592
8	0.449625024
9	0.4420723935
10	0.4358404557
11	0.43156406
12	0.4250852433
13	0.421129761
14	0.415183468
15	0.4109513804
16	0.4074171143
17	0.4045593162
18	0.400475303
19	0.3956537712
20	0.393336232
21	0.3918486041
22	0.389642234
23	0.3877991624
24	0.3857070322
25	0.3835637694
26	0.381913608
27	0.3805692533
28	0.3794977315
29	0.3780704674
30	0.3764911891
31	0.3756907739
32	0.3735075701
33	0.3695267205
34	0.3681853008
35	0.3662691916
36	0.36399733
37	0.3632497383
38	0.3617326684
39	0.3603283473
40	0.3598478798
41	0.3565472731
42	0.3556277331
43	0.354268424
44	0.353134059
45	0.3516591425
46	0.3506720017
47	0.3500560779
48	0.3484405868
49	0.3481253947
50	0.3473024727
51	0.3454976025
52	0.3446871346
53	0.3431509801
54	0.3422624717
55	0.3406873173
56	0.3395410436
57	0.3391174897
58	0.3373514354
59	0.335995234
60	0.334486998
61	0.3333593993
62	0.3327977952
63	0.3319582424
64	0.3315492062
65	0.3310255927
66	0.3300187725
67	0.3293726825
68	0.3286278042
69	0.328172384
70	0.3273327521
71	0.3272957087
72	0.326950471
73	0.3263361782
74	0.3254769047
75	0.3243518883
76	0.3237725424
77	0.3231091208
78	0.3228267951
79	0.3228039036
80	0.3220492363
81	0.321529081
82	0.3210113352
83	0.3202717186
84	0.3202547385
85	0.3201881651
86	0.3193546604
87	0.3192761503
88	0.3189608306
89	0.318126189
90	0.3174768602
91	0.3159088986
92	0.3155547321
93	0.3148095609
94	0.3138359135
95	0.3138161019
96	0.3134884035
97	0.3127701604
98	0.3118896783
99	0.3113553032
