iter	Passed	Remaining
0	3	317
1	6	320
2	9	312
3	15	368
4	18	347
5	21	332
6	24	324
7	28	331
8	31	321
9	34	312
10	37	303
11	40	295
12	44	297
13	47	290
14	49	281
15	52	274
16	55	269
17	57	264
18	61	261
19	63	255
20	66	249
21	69	245
22	71	240
23	74	237
24	77	233
25	80	228
26	82	223
27	85	219
28	87	214
29	91	213
30	93	208
31	96	204
32	99	201
33	101	196
34	104	193
35	107	191
36	109	187
37	112	183
38	114	179
39	117	176
40	120	172
41	123	170
42	125	166
43	128	163
44	130	159
45	133	156
46	135	153
47	139	150
48	141	147
49	144	144
50	146	140
51	148	137
52	151	134
53	154	131
54	157	128
55	159	125
56	162	122
57	164	119
58	166	115
59	170	113
60	173	110
61	175	107
62	178	104
63	180	101
64	183	98
65	186	96
66	190	93
67	192	90
68	195	87
69	197	84
70	201	82
71	204	79
72	206	76
73	209	73
74	212	70
75	216	68
76	219	65
77	223	63
78	226	60
79	228	57
80	232	54
81	235	51
82	241	49
83	244	46
84	249	44
85	252	41
86	255	38
87	257	35
88	260	32
89	264	29
90	267	26
91	270	23
92	272	20
93	275	17
94	277	14
95	281	11
96	284	8
97	286	5
98	289	2
99	291	0
